timestamp,price,country,unit
2024-01-01 00:00:00,45.2,FR,EUR/MWh
2024-01-01 01:00:00,42.1,FR,EUR/MWh
2024-01-01 02:00:00,38.5,FR,EUR/MWh
2024-01-01 03:00:00,36.8,FR,EUR/MWh
2024-01-01 04:00:00,35.2,FR,EUR/MWh
2024-01-01 05:00:00,38.9,FR,EUR/MWh
2024-01-01 06:00:00,52.3,FR,EUR/MWh
2024-01-01 07:00:00,68.5,FR,EUR/MWh
2024-01-01 08:00:00,78.2,FR,EUR/MWh
2024-01-01 09:00:00,85.1,FR,EUR/MWh
2024-01-01 10:00:00,82.4,FR,EUR/MWh
2024-01-01 11:00:00,75.6,FR,EUR/MWh
2024-01-01 12:00:00,68.3,FR,EUR/MWh
2024-01-01 13:00:00,65.1,FR,EUR/MWh
2024-01-01 14:00:00,62.8,FR,EUR/MWh
2024-01-01 15:00:00,65.5,FR,EUR/MWh
2024-01-01 16:00:00,72.3,FR,EUR/MWh
2024-01-01 17:00:00,85.6,FR,EUR/MWh
2024-01-01 18:00:00,92.4,FR,EUR/MWh
2024-01-01 19:00:00,88.7,FR,EUR/MWh
2024-01-01 20:00:00,75.2,FR,EUR/MWh
2024-01-01 21:00:00,62.1,FR,EUR/MWh
2024-01-01 22:00:00,52.3,FR,EUR/MWh
2024-01-01 23:00:00,48.5,FR,EUR/MWh
2024-01-02 00:00:00,44.2,FR,EUR/MWh
2024-01-02 01:00:00,41.1,FR,EUR/MWh
2024-01-02 12:00:00,-5.2,FR,EUR/MWh
2024-01-02 13:00:00,-12.5,FR,EUR/MWh
2024-01-02 14:00:00,-8.3,FR,EUR/MWh
